avg_rating,avg_review,avg_distance,no_of_bars_yelp,ll
3.88,185.62,528.72,50,"49.285871,-123.12105"
3.76,166.06,605.85,50,"49.284893,-123.128685"
3.73,110.77,824.09,31,"49.263962,-123.112621"
3.84,100.36,761.55,44,"49.277615,-123.091654"
3.88,173.14,495.82,50,"49.282214,-123.114101"
3.76,88.12,553.48,33,"49.266456,-123.100324"
3.76,91.03,658.82,35,"49.268216,-123.103168"
3.85,183.24,474.23,50,"49.284554,-123.111031"
3.82,130.9,473.68,50,"49.280216,-123.117639"
3.48,107.17,826.13,23,"49.266314,-123.116011"
3.82,61.35,835.75,17,"49.280852,-123.084746"
3.54,111.33,789.06,48,"49.285512,-123.1384"
3.63,140.34,831.34,50,"49.27821,-123.136972"
3.53,89.62,856.77,47,"49.281301,-123.139108"
3.71,82.94,790.6,31,"49.283298,-123.142288"
3.88,156.48,500.14,50,"49.280787,-123.115271"
3.64,89.96,881.87,47,"49.266476,-123.109389"
3.66,135.27,774.09,41,"49.290587,-123.13625"
0.0,0.0,0.0,0,"49.312568,-123.144177"
3.95,77.58,851.2,19,"49.262835,-123.152626"
3.8,93.69,757.85,32,"49.256825,-123.105234"
3.74,105.56,477.51,50,"49.275683,-123.124388"
3.81,101.58,556.5,31,"49.263518,-123.09568"
3.75,165.42,633.53,50,"49.28691,-123.128818"
3.79,156.34,521.63,50,"49.282503,-123.124697"
3.66,132.3,742.66,50,"49.283749,-123.136133"
3.85,121.26,815.28,23,"49.262944,-123.148109"
3.66,95.0,882.72,49,"49.27029,-123.135025"
3.85,46.31,699.9,13,"49.280427,-123.074082"
3.8,131.64,460.99,50,"49.279259,-123.119145"
3.76,168.18,590.72,50,"49.285836,-123.127265"
3.87,52.67,912.44,15,"49.272969,-123.164325"
3.65,53.5,895.9,10,"49.27247,-123.185643"
3.79,53.29,790.69,14,"49.271471,-123.17731"
3.8,150.94,725.74,50,"49.290112,-123.127062"
3.89,84.36,772.99,14,"49.263523,-123.155267"
3.78,53.56,760.78,16,"49.264928,-123.168068"
3.79,53.29,550.02,14,"49.264483,-123.173926"
3.68,54.82,459.18,11,"49.264579,-123.18373"
3.47,59.93,609.38,15,"49.263746,-123.069892"
3.82,74.45,926.55,11,"49.258761,-123.127071"
3.5,61.38,765.22,8,"49.268974,-123.190701"
3.87,78.0,756.06,15,"49.273011,-123.159663"
3.79,53.29,554.61,14,"49.266924,-123.173849"
3.87,52.67,795.68,15,"49.264326,-123.164725"
3.68,54.82,473.14,11,"49.266636,-123.183661"
3.96,95.0,1008.28,14,"49.254818,-123.114785"
3.79,53.29,593.73,14,"49.268837,-123.177633"
3.7,62.2,774.56,5,"49.255034,-123.120226"
3.79,41.67,798.78,12,"49.271044,-123.170661"
3.94,126.4,693.24,25,"49.252691,-123.101289"
3.81,80.51,805.89,43,"49.272172,-123.097978"
3.67,71.0,851.31,6,"49.271082,-123.191458"
3.63,124.42,571.36,50,"49.27808,-123.130557"
3.69,99.4,901.94,50,"49.269969,-123.109623"
3.6,94.52,654.9,29,"49.287528,-123.142139"
3.6,94.52,671.19,29,"49.28803,-123.142135"
3.81,43.67,913.99,18,"49.259579,-123.114769"
3.57,112.32,659.44,34,"49.2890705989865,-123.138407369468"
3.8,163.72,578.31,50,"49.287782,-123.12395"
3.89,179.42,511.58,50,"49.28512,-123.11242"
0.0,0.0,0.0,0,"49.247854,-123.153422"
3.68,87.43,887.6,37,"49.265939,-123.1129"
3.87,69.94,505.76,31,"49.261122,-123.097571"
3.61,92.86,940.37,50,"49.267725,-123.11311"
4.0,1.0,619.84,1,"49.245135,-123.116098"
3.7,128.56,646.25,50,"49.274232,-123.129998"
4.0,23.0,598.66,1,"49.238105,-123.154966"
0.0,0.0,0.0,0,"49.246243,-123.124373"
4.06,147.0,546.07,16,"49.249722,-123.104991"
3.95,149.91,516.99,11,"49.243375,-123.104978"
3.96,34.57,651.05,14,"49.282087,-123.056909"
4.0,32.77,539.14,13,"49.283968,-123.061615"
4.04,34.67,734.75,12,"49.287464,-123.060771"
4.0,32.77,610.15,13,"49.285575,-123.061575"
4.17,2.67,816.11,3,"49.251358,-123.115637"
4.5,1.0,849.64,2,"49.249184,-123.116141"
4.0,1.0,942.16,1,"49.245535,-123.120496"
3.62,146.94,729.72,50,"49.289255,-123.132677"
0.0,0.0,0.0,0,"49.252656,-123.067965"
3.6,129.14,537.85,50,"49.277527,-123.129464"
3.73,77.23,686.08,13,"49.259469,-123.145718"
